"Status of existing checking account";"Duration in months";"Credit history";"Purpose";"Credit amount";"Savings account/bonds";"Present employment since";"Installment rate in percentage of disposable income";"Personal status and sex";"Other debtors / guarantors";"Present residence since";"Property";"Age in years";"Other installment plans";"Housing";"Number of existing credits at this bank";"Job";"Number of people being liable to provide maintenance for";"Telephone";"Foreign worker";"Score"
"No checking account";18;"existing credits paid back duly till now";"car (new)";1820;"less than 100";"1 to 4 years";2;"male (married/widowed)";"none";2;"building society savings agreement/ life insurance";30;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"furniture/equipment";983;"more than 1000";"less than 1 year";1;"female (divorced/separated/married)";"none";4;"real estate";19;"none";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
"Negative";36;"existing credits paid back duly till now";"car (new)";3249;"less than 100";"4 to 7 years";2;"male (single)";"none";4;"unknown / no property";39;"bank";"for free";1;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"good"
"Negative";6;"critical account/ other credits existing (not at this bank)";"radio/television";1957;"less than 100";"4 to 7 years";1;"female (divorced/separated/married)";"none";4;"car or other";31;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";9;"critical account/ other credits existing (not at this bank)";"furniture/equipment";2406;"less than 100";"Unemployed";2;"male (single)";"none";3;"car or other";31;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"good"
"0 - 200";39;"delay in paying off in the past";"education";11760;"100 to 500";"4 to 7 years";2;"male (single)";"none";3;"unknown / no property";32;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";12;"existing credits paid back duly till now";"furniture/equipment";2578;"less than 100";"Unemployed";3;"female (divorced/separated/married)";"none";4;"unknown / no property";55;"none";"for free";1;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"good"
"Negative";36;"critical account/ other credits existing (not at this bank)";"furniture/equipment";2348;"less than 100";"1 to 4 years";3;"male (married/widowed)";"none";2;"building society savings agreement/ life insurance";46;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"car (new)";1223;"less than 100";"more than 7 years";1;"male (divorced/separated)";"none";1;"real estate";46;"none";"rent";2;"skilled employee / official";1;"none";"Yes";"bad"
"No checking account";24;"critical account/ other credits existing (not at this bank)";"radio/television";1516;"more than 1000";"1 to 4 years";4;"female (divorced/separated/married)";"none";1;"real estate";43;"none";"own";2;"unskilled - resident";1;"none";"Yes";"good"
"No checking account";18;"existing credits paid back duly till now";"radio/television";1473;"less than 100";"less than 1 year";3;"male (married/widowed)";"none";4;"real estate";39;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";18;"critical account/ other credits existing (not at this bank)";"business";1887;"unknown / no savings account";"1 to 4 years";4;"male (married/widowed)";"none";4;"real estate";28;"bank";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";24;"delay in paying off in the past";"business";8648;"less than 100";"less than 1 year";2;"male (single)";"none";2;"car or other";27;"bank";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";14;"delay in paying off in the past";"car (new)";802;"less than 100";"1 to 4 years";4;"male (single)";"none";2;"car or other";27;"none";"own";2;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";18;"delay in paying off in the past";"car (new)";2899;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";4;"car or other";43;"none";"own";1;"skilled employee / official";2;"none";"Yes";"good"
"0 - 200";24;"existing credits paid back duly till now";"radio/television";2039;"less than 100";"less than 1 year";1;"male (married/widowed)";"none";1;"building society savings agreement/ life insurance";22;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";24;"critical account/ other credits existing (not at this bank)";"car (used)";2197;"unknown / no savings account";"4 to 7 years";4;"male (single)";"none";4;"car or other";43;"none";"own";2;"skilled employee / official";2;"yes, registered under the customers name";"Yes";"good"
"Negative";15;"existing credits paid back duly till now";"radio/television";1053;"less than 100";"less than 1 year";4;"male (married/widowed)";"none";2;"real estate";27;"none";"own";1;"skilled employee / official";1;"none";"No";"good"
"No checking account";24;"existing credits paid back duly till now";"radio/television";3235;"500 to 1000";"more than 7 years";3;"male (divorced/separated)";"none";2;"car or other";26;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"Over 200";12;"critical account/ other credits existing (not at this bank)";"car (new)";939;"500 to 1000";"4 to 7 years";4;"male (married/widowed)";"none";2;"real estate";28;"none";"own";3;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"0 - 200";24;"existing credits paid back duly till now";"radio/television";1967;"less than 100";"more than 7 years";4;"female (divorced/separated/married)";"none";4;"car or other";20;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";33;"critical account/ other credits existing (not at this bank)";"car (used)";7253;"less than 100";"4 to 7 years";3;"male (single)";"none";2;"car or other";35;"none";"own";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"business";2292;"less than 100";"Unemployed";4;"male (single)";"none";2;"car or other";42;"stores";"own";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";10;"existing credits paid back duly till now";"car (new)";1597;"500 to 1000";"1 to 4 years";3;"male (single)";"none";2;"unknown / no property";40;"none";"rent";1;"unskilled - resident";2;"none";"No";"good"
"Negative";24;"existing credits paid back duly till now";"car (new)";1381;"unknown / no savings account";"1 to 4 years";4;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";35;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"No checking account";36;"critical account/ other credits existing (not at this bank)";"car (used)";5842;"less than 100";"more than 7 years";2;"male (single)";"none";2;"building society savings agreement/ life insurance";35;"none";"own";2;"skilled employee / official";2;"yes, registered under the customers name";"Yes";"good"
"Negative";12;"existing credits paid back duly till now";"car (new)";2579;"less than 100";"less than 1 year";4;"male (single)";"none";1;"real estate";33;"none";"own";1;"unskilled - resident";2;"none";"Yes";"bad"
"Negative";18;"delay in paying off in the past";"education";8471;"unknown / no savings account";"1 to 4 years";1;"female (divorced/separated/married)";"none";2;"car or other";23;"none";"rent";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";21;"existing credits paid back duly till now";"car (new)";2782;"500 to 1000";"4 to 7 years";1;"female (divorced/separated/married)";"none";2;"car or other";31;"bank";"own";1;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"good"
"0 - 200";18;"existing credits paid back duly till now";"car (new)";1042;"unknown / no savings account";"1 to 4 years";4;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";33;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"No checking account";15;"existing credits paid back duly till now";"car (new)";3186;"more than 1000";"4 to 7 years";2;"female (divorced/separated/married)";"none";3;"car or other";20;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"car (used)";2028;"unknown / no savings account";"1 to 4 years";4;"male (single)";"none";2;"car or other";30;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";12;"critical account/ other credits existing (not at this bank)";"car (new)";958;"less than 100";"4 to 7 years";2;"male (single)";"none";3;"real estate";47;"none";"own";2;"unskilled - resident";2;"none";"Yes";"good"
"No checking account";21;"delay in paying off in the past";"furniture/equipment";1591;"100 to 500";"4 to 7 years";4;"male (single)";"none";3;"real estate";34;"none";"own";2;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"furniture/equipment";2762;"unknown / no savings account";"more than 7 years";1;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";25;"bank";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"0 - 200";18;"existing credits paid back duly till now";"car (used)";2779;"less than 100";"1 to 4 years";1;"male (married/widowed)";"none";3;"car or other";21;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";28;"critical account/ other credits existing (not at this bank)";"radio/television";2743;"less than 100";"more than 7 years";4;"male (single)";"none";2;"car or other";29;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"radio/television";1149;"more than 1000";"1 to 4 years";4;"male (single)";"none";3;"real estate";46;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";9;"existing credits paid back duly till now";"furniture/equipment";1313;"less than 100";"more than 7 years";1;"male (single)";"none";4;"car or other";20;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"Negative";18;"critical account/ other credits existing (not at this bank)";"repairs";1190;"less than 100";"Unemployed";2;"female (divorced/separated/married)";"none";4;"unknown / no property";55;"none";"for free";3;"unemployed / unskilled - non-resident";2;"none";"Yes";"bad"
"No checking account";5;"existing credits paid back duly till now";"business";3448;"less than 100";"4 to 7 years";1;"male (single)";"none";4;"real estate";74;"none";"own";1;"unskilled - resident";1;"none";"Yes";"good"
